2c9681f3/6af7ca56/016a/f844bc27/0075;ME201195;PSA Retail Rhein-Main Mainz;Peugeot Mainz Wiesbaden GmbH
2c968186/67cbe214/0167/cbf3a9d5/17b8;BAU00393;Henning Wirtz;Steinmetzbetrieb
2c9681ec/6b975c73/016b/9764e603/0049;ZZZ_BAU00902;ZZZ_Alt_Kraftbau GmbH&Co.KG;
2c969491/8a4a51db/018a/4c63fa36/05be;BAU230839;Lora Bayrakcioglu;Schneider Atelier Michael
2c968186/67cbe214/0167/cbf36a3e/13ec;EL201164;Peter Elektro Energie;Inhaber Hans-Ludwig Peter e. K.
2c968186/67cbe214/0167/cbf2725b/0567;MED00327;BBC Cellpack Packaging Lauterecken GmbH;
2c9681fa/73c27ef5/0173/c381a43d/04a7;EL049474;TDI Elektro- und Haustechnik GmbH;
2c968186/67cbe214/0167/cbf2f764/0d41;BAU201121;IG Weiland AG;""
2c9681e7/724a5b93/0172/4b1d5c37/00c7;BAU00984;Gottfried Anell;Natursteinwek GmbH
2c96949b/8450cbce/0184/51ff7a0c/004a;EGH95202000145215;CSM Deutschland GmbH;
2c969491/771e665d/0177/1f1dc151/0015;EL20210120;Harald Hees;Elektroinstallation Elektro-Direkt
2c968186/67cbe214/0167/cbf3ba9d/18be;EL000211;Universitätsmedizin der Johannes;Gutenberg-Universität Mainz
2c9681e8/68f033e3/0168/f04d028c/0042;EL190201;Steuler Holding GmbH;
2c968186/67cbe214/0167/cbf3d5d5/1a55;EL000298;Wüst Fernmeldetechnik;""
2c96949d/7b863a1b/017b/869c15d0/027b;GUTSS;Gutsschänke Holzmühle GbR;
2c968186/67cbe214/0167/cbf2e082/0bd3;ME201175;handicap mobil GmbH;""
2c96949d/8a5f3665/018a/5f90909d/0311;Crew;Smart Crew;
2c968186/67cbe214/0167/cbf3d6df/1a5d;EL00203;Wasserversorgung Rheinland-Pfalz GmbH;
2c969491/7cca6ea0/017c/cba81db8/0148;EL211030;Mellex Services GmbH;
2c9681fb/6decd794/016d/ecdce0be/0059;EHG2011132;Trip Inn Hotel Bristol Mainz;
2c968186/67cbe214/0167/cbf2b250/090b;EL000161;evoila GmbH;
2c96949d/914fba12/0191/503eb9d7/0476;IMPACT;Impact GmbH;
2c968186/67cbe214/0167/cbf297f3/0782;EL000112;Elektro Dick GmbH;""
2c9681f9/6c84c6d4/016c/853d303e/02b9;BAU00948;PALKA-BAU GmbH;Franz-Josef Palka
2c969491/7ae14d73/017a/e1c13f9f/00a3;BAU210728;Portz Naturstein GmbH;
2c968186/67cbe214/0167/cbf2d2f6/0af8;ALLG0463;Geiß GmbH;""
2c96949a/81cd78d9/0181/dc7c7f0a/044e;EL290874;DAL Deutsche Anlagen Leasing GmbH;
2c968186/67cbe214/0167/cbf3bc82/18dc;ALLG0347;Uwe Cesla Malerbetrieb GmbH;""
2c96949a/7e66c005/017e/6c0cc53b/019b;EL3094855;Computertechnik Gerbig;
2c9681fa/7400454f/0174/018296f4/04ad;EL03825;Elektrotechnik Fretter GmbH;
2c969491/8ab6a259/018a/bbc6cf08/0375;BAU230922;SCHMALZ Natursteine Fliesen GmbH;
