1027_21232001-SA;21232001-SA;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinmetzarbeiten;2c969491/8ac6d1af/018a/d05eabee/0671
1027_23212005-DM;23212005-DM;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Digitalmedien;2c96e486/90fdef6a/0191/5053879e/651a
1027_26212006-EG;26212006-EG;Elektroniker/Elektronikerin - Fachrichtung Energie- und Gebäudetechnik;2c969491/7b860032/017b/86646ad3/02f9
1027_33212010-GI;33212010-GI;Maler und Lackierer/Malerin und Lackiererin - Fachrichtung Gestaltung und Instandhaltung;2c969497/924ced89/0192/4ed08628/0089
1027_99000100-BJ;99000100-BJ;BVJ;2c96949b/933e024b/0193/3e77320f/0075
1027_26312005;26312005;Informationselektroniker/Informationselektronikerin;2c9681fa/73e1447d/0173/e27a0510/00d6
1027_99000100-BJ;99000100-BJ;BVJ;2c968186/73760232/0173/ebf01334/5adf
1027_26212006-EG;26212006-EG;Elektroniker/Elektronikerin - Fachrichtung Energie- und Gebäudetechnik;2c96949a/825809e0/0182/632179ba/0314
1027_32122001;32122001;Maurer/Maurerin;2c969491/7b4d6a95/017b/4e93248e/03ba
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;
1027_99000100-BJ;99000100-BJ;BVJ;2c969491/83c04f15/0183/c0dcbf99/0028
1027_26312005;26312005;Informationselektroniker/Informationselektronikerin;2c969491/7b7c37a5/017b/7d317d2d/0537
1027_33302007-FPM;33302007-FPM;Ausbaufacharbeiter/Ausbaufacharbeiterin - Schwerpunkt Fliesen-, Platten- und Mosaikarbeiten;2c96949d/91bbd8ec/0191/e05ea508/0f5f
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c96949a/86e40b69/0186/ef2b1527/01b8
1027_29232003;29232003;Fleischer/Fleischerin;2c96949d/8a69e347/018a/6bcd7efe/0246
1027_23212005-DM;23212005-DM;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Digitalmedien;2c96949b/891b2e60/0189/1b559285/0033
1027_33322001;33322001;Zimmerer/Zimmerin;2c96e486/915515a9/0191/5a1c91c2/2712
1027_32102005-MA;32102005-MA;Hochbaufacharbeiter/Hochbaufacharbeiterin - Schwerpunkt Maurerarbeiten;2c969491/7b4d6a95/017b/4e8bdc7e/039c
1027_43412002-AE;43412002-AE;Fachinformatiker/Fachinformatikerin - Fachrichtung Anwendungsentwicklung;2c96949a/8a2b5ced/018a/2b81413b/010f
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c96949a/8a2b5ced/018a/2c492e1d/064d
